ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, ACC_X 3, ACC_Y 3, ACC_Z 3, ACC_X 4, ACC_Y 4, ACC_Z 4, Time[ms]
0.046876, -0.109622, 1.035920, 0.010743, 0.786157, -0.610370, 0.164800, 1.014191, 0.008789, 0.062502, -0.537614, 0.013184,  --- 281.728
0.062441, -0.114750, 1.023957, 0.000977, 0.768578, -0.601581, 0.171880, 0.985381, 0.045900, 0.077395, -0.529069, 0.823023,  --- 285.729
0.046876, -0.117191, 1.035187, 0.007813, 0.780053, -0.630634, 0.165776, 1.000030, 0.020753, 0.077639, -0.532487, 0.818628,  --- 288.728
0.046876, -0.105228, 1.031769, 0.017823, 0.784203, -0.616962, 0.176519, 0.992462, 0.038087, 0.078616, -0.528825, 0.812280,  --- 292.725
0.046876, -0.112064, 1.033234, 0.015625, 0.776879, -0.617450, 0.163091, 1.003692, 0.011963, 0.086184, -0.533463, 0.829371,  --- 295.728
0.000000, -0.108890, 1.032014, 0.000000, 0.785912, -0.627216, 0.009278, 0.999298, 0.027589, 0.062502, -0.529801, 0.810083,  --- 299.726
0.046876, -0.105960, 1.033234, 0.009278, 0.777123, -0.609149, 0.156255, 1.003204, 0.013428, 0.086673, -0.534440, 0.828150,  --- 303.728
0.048341, -0.112064, 1.034699, 0.015625, 0.789575, -0.617450, 0.170171, 1.006866, 0.025636, 0.073244, -0.530534, 0.808130,  --- 307.727
0.050050, -0.109867, -0.002686, 0.015564, 0.775658, -0.634296, 0.156255, 0.997589, 0.021729, 0.082522, -0.530778, -0.005127,  --- 311.729
0.051027, -0.109378, 1.036408, 0.015625, 0.782738, -0.624531, 0.178228, 0.996124, 0.021973, 0.067629, -0.531510, 0.815698,  --- 316.727
0.000000, -0.111820, 1.032502, 0.015137, 0.778832, -0.617939, -0.004395, 1.002716, 0.027589, 0.083010, -0.529069, 0.815943,  --- 320.733
0.051515, -0.108158, 1.031037, 0.014649, 0.774193, -0.608905, 0.169683, 0.999542, 0.021241, 0.078127, -0.537126, 0.823267,  --- 324.727
0.046876, -0.110111, 1.049348, 0.018067, 0.791528, -0.617206, 0.171880, 1.001739, 0.021241, 0.074465, -0.529557, 0.014649,  --- 328.727
0.046876, -0.107425, 1.031525, 0.012696, 0.770531, 0.005615, 0.165776, 0.993926, 0.012940, 0.093997, -0.532731, 0.828150,  --- 332.730
