ACC_X 0, ACC_Y 0, ACC_Z 0, Time[ms]
-0.005127, -0.013184, 1.016388,  --- 523.000
-0.009033, -0.188726, 1.016144,  --- 524.999
-0.009033, -0.187750, 1.022736,  --- 526.999
-0.006836, -0.189459, 1.026154,  --- 529.001
-0.005127, -0.186041, 1.022004,  --- 530.999
-0.015625, -0.187262, 1.020050,  --- 532.999
-0.008057, -0.190680, 1.020783,  --- 535.004
-0.015625, -0.188971, 1.029084,  --- 537.000
-0.007569, -0.195807, 1.022004,  --- 538.999
-0.005615, -0.195563, 1.024689,  --- 541.002
-0.015625, -0.186529, 1.014679,  --- 543.000
-0.006836, -0.188238, 1.015656,  --- 544.000
-0.010254, -0.190435, 1.021271,  --- 547.001
-0.008789, -0.194342, 1.023468,  --- 549.000
-0.003174, -0.192633, 1.023224,  --- 550.999
-0.006592, -0.187750, 1.018341,  --- 553.008
-0.007324, -0.187750, 1.019074,  --- 554.999
-0.008789, -0.192144, 1.022248,  --- 556.001
-0.006592, -0.191168, 1.019806,  --- 559.001
-0.015625, -0.193365, 1.022248,  --- 560.999
-0.015625, -0.190924, 1.023224,  --- 562.999
-0.004883, -0.203131, 1.021027,  --- 565.001
-0.015625, -0.195074, 1.019806,  --- 567.000
-0.015625, -0.188726, 1.028107,  --- 568.999
-0.007080, -0.188726, 1.024201,  --- 571.001
-0.005860, -0.185064, 1.021759,  --- 573.000
-0.006836, -0.190924, 1.019074,  --- 574.999
-0.003174, -0.191168, 1.021027,  --- 577.000
-0.015625, -0.190191, 1.028840,  --- 579.000
-0.003662, -0.188726, 1.020539,  --- 580.000
-0.000061, -0.194342, 1.022248,  --- 583.000
-0.015625, -0.191900, 1.021515,  --- 585.000
-0.004883, -0.189459, 1.023957,  --- 586.999
-0.015625, -0.189459, 1.015167,  --- 589.000
0.000000, -0.192633, 1.023957,  --- 591.000
-0.015625, -0.191412, 1.016876,  --- 593.000
-0.005860, -0.193853, 1.024689,  --- 595.000
-0.004395, -0.192389, -0.011475,  --- 597.001
-0.015625, -0.191168, 1.015900,  --- 598.999
-0.010010, -0.191412, 1.015656,  --- 602.001
-0.007080, -0.189703, 1.023224,  --- 603.999
-0.003418, -0.187506, 1.010529,  --- 604.999
-0.015625, -0.188238, 1.017120,  --- 607.004
-0.015625, -0.189459, 1.022736,  --- 608.999
-0.008789, -0.187994, 1.028840,  --- 611.000
-0.005371, -0.188482, 1.023224,  --- 613.006
-0.004151, -0.188971, 1.021759,  --- 614.999
-0.015625, -0.186285, 1.025910,  --- 617.000
-0.015625, -0.185797, 1.018830,  --- 619.003
-0.015625, -0.187017, 1.026398,  --- 620.999
-0.002930, -0.192389, 1.021759,  --- 622.999
-0.015625, 0.001709, 1.012238,  --- 626.000
-0.015625, -0.188971, 1.015900,  --- 627.999
-0.015625, -0.188971, 1.023957,  --- 630.002
-0.015625, -0.191168, 1.020539,  --- 632.006
-0.008789, -0.187994, 1.020050,  --- 635.001
-0.007080, -0.191900, 1.023468,  --- 638.009
-0.015625, -0.187017, 1.020050,  --- 641.000
-0.009278, -0.190191, 1.022980,  --- 643.000
-0.008545, -0.192877, 1.027619,  --- 646.000
-0.003418, -0.190435, 1.023957,  --- 649.001
