accx;accy;accz;time
428;260;15836;65096
428;260;15836;65268
428;260;15836;65444
428;260;15836;80
428;260;15836;252
496;256;15916;428
496;256;15916;600
496;256;15916;772
496;256;15916;948
496;256;15916;1120
496;256;15916;1292
552;228;15908;1464
552;228;15908;1636
552;228;15908;1808
552;228;15908;1988
552;228;15908;2160
556;236;15868;2332
556;236;15868;2504
556;236;15868;2676
556;236;15868;2848
556;236;15868;3028
556;236;15868;3200
564;264;15852;3372
564;264;15852;3544
564;264;15852;3716
564;264;15852;3888
564;264;15852;4068
564;264;15852;4240
556;304;15816;4412
556;304;15816;4584
556;304;15816;4756
556;304;15816;4928
556;304;15816;5104
556;304;15816;5276
520;344;15788;5448
520;344;15788;5624
520;344;15788;5796
520;344;15788;5968
520;344;15788;6144
520;344;15788;6316
508;336;15848;6488
508;336;15848;6660
508;336;15848;6832
508;336;15848;7004
508;336;15848;7184
508;308;15900;7356
508;308;15900;7528
508;308;15900;7700
508;308;15900;7872
508;308;15900;8044
508;308;15900;8224
508;272;15864;8396
508;272;15864;8568
508;272;15864;8740
508;272;15864;8912
508;272;15864;9084
508;272;15864;9264
480;244;15848;9436
480;244;15848;9608
480;244;15848;9780
480;244;15848;9952
480;244;15848;10128
480;244;15848;10300
500;256;15764;10472
500;256;15764;10648
500;256;15764;10820
500;256;15764;10992
500;256;15764;11168
544;308;15780;11340
544;308;15780;11512
544;308;15780;11684
544;308;15780;11856
544;308;15780;12028
544;308;15780;12208
548;292;15884;12380
548;292;15884;12552
548;292;15884;12724
548;292;15884;12896
548;292;15884;13068
548;292;15884;13248
564;256;15816;13420
564;256;15816;13592
564;256;15816;13764
564;256;15816;13936
564;256;15816;14108
564;256;15816;14288
532;304;15792;14460
532;304;15792;14632
532;304;15792;14804
532;304;15792;14976
532;304;15792;15148
528;272;15852;15324
528;272;15852;15496
528;272;15852;15668
528;272;15852;15844
528;272;15852;16016
528;272;15852;16188
568;244;15852;16364
568;244;15852;16536
568;244;15852;16708
568;244;15852;16880
568;244;15852;17052
568;244;15852;17224
556;312;15824;17404
556;312;15824;17576
556;312;15824;17748
556;312;15824;17920
556;312;15824;18092
556;312;15824;18264
524;316;15828;18444
524;316;15828;18616
524;316;15828;18788
524;316;15828;18960
524;316;15828;19132
524;316;15828;19304
524;320;15800;19484
524;320;15800;19656
524;320;15800;19828
524;320;15800;20000
524;320;15800;20172
520;316;15888;20344
520;316;15888;20520
520;316;15888;20692
520;316;15888;20864
520;316;15888;21040
520;316;15888;21212
532;280;15928;21388
532;280;15928;21560
532;280;15928;21732
532;280;15928;21904
532;280;15928;22076
532;280;15928;22248
532;312;15872;22428
532;312;15872;22600
532;312;15872;22772
532;312;15872;22944
532;312;15872;23116
532;312;15872;23288
476;332;15856;23468
476;332;15856;23640
476;332;15856;23812
476;332;15856;23984
476;332;15856;24156
436;296;15860;24328
436;296;15860;24508
436;296;15860;24680
436;296;15860;24852
436;296;15860;25024
436;296;15860;25196
468;292;15924;25368
468;292;15924;25544
468;292;15924;25716
468;292;15924;25888
468;292;15924;26060
468;292;15924;26232
540;296;15928;26408
540;296;15928;26584
540;296;15928;26756
540;296;15928;26928
540;296;15928;27100
540;296;15928;27272
548;316;15840;27444
548;316;15840;27624
548;316;15840;27796
548;316;15840;27968
548;316;15840;28140
540;360;15840;28312
540;360;15840;28484
540;360;15840;28664
540;360;15840;28836
540;360;15840;29008
540;360;15840;29180
516;320;15884;29352
516;320;15884;29524
516;320;15884;29700
