ACC_X 0, ACC_Y 0, ACC_Z 0, Time[ms]
0.109378, 0.968291, 0.239265,  --- 570.447998
0.109378, 0.968779, 0.230476,  --- 570.447998
0.109378, 0.970732, 0.239753,  --- 580.447998
0.115238, 0.969267, 0.230476,  --- 580.447998
0.109378, 0.954130, 0.229987,  --- 591.723022
0.109378, 0.972197, 0.242683,  --- 594.721008
0.120609, 0.963408, 0.220221,  --- 596.723022
0.119633, 0.973662, 0.235847,  --- 599.721985
0.112308, 0.967803, 0.235359,  --- 601.721985
0.116703, 0.971221, 0.228034,  --- 603.723999
0.115238, 0.974639, 0.237800,  --- 605.721985
0.119633, 0.968291, 0.232429,  --- 612.723022
0.109378, 0.968779, 0.242195,  --- 614.690002
0.120121, 0.970244, 0.235847,  --- 616.870972
0.120121, 0.967314, 0.209967,  --- 616.870972
0.109378, 0.969267, 0.237312,  --- 616.870972
0.115238, 0.964385, 0.238777,  --- 616.870972
0.125004, 0.971221, 0.242683,  --- 616.870972
0.000000, 0.968291, 0.229987,  --- 626.906006
0.116703, 0.962431, 0.236824,  --- 626.906006
0.106937, 0.969756, 0.224616,  --- 640.028015
0.118656, 0.968779, 0.237312,  --- 642.328003
0.109378, 0.966826, 0.228523,  --- 643.366028
0.109378, 0.967314, 0.234382,  --- 643.366028
0.109378, 0.972686, 0.247566,  --- 643.366028
0.109378, 0.962920, 0.229987,  --- 643.366028
0.108402, 0.974639, 0.237312,  --- 659.732971
0.109378, 0.967803, 0.214362,  --- 662.734985
0.116703, 0.973174, 0.236824,  --- 664.732971
0.109378, 0.975615, 0.241707,  --- 666.739014
0.123051, 0.961943, 0.249519,  --- 668.731995
0.125004, 0.971221, 0.254402,  --- 679.742981
0.108890, 0.969756, 0.224128,  --- 682.700012
0.115726, 0.978057, 0.242195,  --- 693.734985
0.109378, 0.974639, 0.221686,  --- 697.750000
0.117679, 0.971221, 0.226081,  --- 699.737000
0.109378, 0.970732, 0.236824,  --- 701.731995
0.118656, 0.973174, 0.242683,  --- 703.737976
0.114261, 0.962920, 0.243171,  --- 706.453979
0.124943, 0.974639, 0.248543,  --- 708.458984
0.109378, 0.964385, 0.240242,  --- 710.453979
0.109378, 0.973174, 0.228034,  --- 712.479980
0.109378, 0.971709, 0.237312,  --- 714.482971
0.116703, 0.969756, 0.236824,  --- 721.005005
0.109378, 0.966826, 0.235359,  --- 724.008972
0.125004, 0.967803, 0.236824,  --- 726.008972
0.109378, 0.969756, 0.225593,  --- 728.008972
0.109378, 0.969267, 0.228523,  --- 730.008972
0.110843, 0.973662, 0.231452,  --- 734.007996
0.009278, 0.973662, 0.243171,  --- 741.067993
0.109378, 0.985381, 0.238288,  --- 744.067017
0.109378, 0.965849, -0.008301,  --- 746.067993
0.116214, 0.975127, 0.241707,  --- 753.638000
0.120609, 0.973662, 0.240242,  --- 757.736023
0.112796, 0.967803, 0.227546,  --- 759.734009
0.119144, 0.960966, 0.220710,  --- 761.734009
0.109378, 0.976104, 0.237800,  --- 773.734985
0.109378, 0.972197, 0.242683,  --- 775.229004
0.115238, 0.963408, 0.240730,  --- 777.234009
0.114750, 0.969756, 0.238777,  --- 781.237000
0.109378, 0.974639, 0.227546,  --- 790.255005
0.115726, 0.967314, 0.224616,  --- 792.257019
